COUNTY,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
Atlantic,65600,46522,1057,57.96,41.1,0.05,113179,41.09,133574,141848,48.5,51.5,275422,42099
Bergen,212754,169070,3583,55.2,43.87,0.01,385407,41.94,444574,474314,48.38,51.62,918888,69919
Burlington,126377,87401,2158,58.53,40.48,0.03,215936,47.84,221948,229388,49.18,50.82,451336,51079
Camden,153682,69476,2270,68.17,30.82,0.03,225428,43.9,247813,265726,48.26,51.74,513539,45540
Cape May,21657,25781,493,45.18,53.79,0.09,47931,49.77,46971,49333,48.77,51.23,96304,52276
Cumberland,34055,20658,579,61.59,37.36,0.11,55292,35.04,81331,76454,51.55,48.45,157785,36551
Essex,236618,64406,1995,78.09,21.25,0.03,303019,38.47,378171,409573,48.01,51.99,787744,54879
Gloucester,74013,59456,1734,54.74,43.98,0.04,135203,46.69,140656,148930,48.57,51.43,289586,44868
Hudson,153108,42369,2027,77.52,21.45,0.04,197504,30.28,326070,326232,49.99,50.01,652302,50033
Hunterdon,26876,38687,931,40.42,58.18,0.06,66494,52.33,62553,64517,49.23,50.77,127070,72131
Mercer,104377,47355,1779,67.99,30.85,0.04,153511,41.68,180646,187657,49.05,50.95,368303,55714
Middlesex,190555,107310,3450,63.24,35.61,0.02,301315,36.61,405437,417604,49.26,50.74,823041,52108
Monmouth,133145,147513,3320,46.89,51.95,0.02,283978,45.12,306121,323263,48.64,51.36,629384,61426
Morris,100146,124947,2299,44.04,54.95,0.02,227392,45.66,243641,254358,48.92,51.08,497999,74057
Ocean,102300,146474,2499,40.71,58.29,0.02,251273,43.29,278726,301744,48.02,51.98,580470,43200
Passaic,115926,64523,1539,63.7,35.45,0.04,181988,36.19,245698,257187,48.86,51.14,502885,44900
Salem,14719,14334,448,49.89,48.59,0.17,29501,44.85,31999,33775,48.65,51.35,65774,42350
Somerset,74592,66603,1726,52.19,46.6,0.04,142921,43.61,160298,167409,48.92,51.08,327707,75863
Sussex,26104,40625,1204,38.43,59.8,0.06,67933,46.07,72973,74469,49.49,50.51,147442,52105
Union,139752,68314,1765,66.6,32.56,0.03,209831,38.57,264902,279074,48.7,51.3,543976,53816
Warren,18745,25744,781,41.41,56.87,0.09,45270,42.05,52359,55294,48.64,51.36,107653,47570
Statewide,2125101,1477568,37637,58.38,40.59,1.03,3640306,41.07,4326461,4538149,48.81,51.19,8864610,54987
