COUNTY,DEMOCRAT,REPUBLICAN,OTHER,PERCENT_DEM,PERCENT_REP,PERCENT_OTH,TOTAL_VOTES,PERCENT_VOTERS,POP_MALE,POP_FEMALE,PERCENT_MALE,PERCENT_FEMALE,TOTAL_POPULATION,PERCAPITA_INCOME
Atlantic,55746,49487,864,52.54,46.64,0.81,106097,39.88,129156,136859,48.55,51.45,266015,35055
Bergen,207666,189833,2745,51.88,47.43,0.69,400244,44.96,430968,459264,48.41,51.59,890232,55322
Burlington,110411,95936,1609,53.09,46.13,0.77,207956,46.62,220615,225426,49.46,50.54,446041,40901
Camden,137765,81427,1741,62.36,36.86,0.79,220933,43.09,248185,264525,48.41,51.59,512710,35957
Cape May,21475,28832,455,42.31,56.8,0.9,50762,50.8,48021,51899,48.06,51.94,99920,40007
Cumberland,27875,24362,948,52.41,45.81,1.78,53185,35.4,77019,73208,51.27,48.73,150227,27962
Essex,203681,83374,2293,70.39,28.81,0.79,289348,36.84,376312,409077,47.91,52.09,785389,42058
Gloucester,66835,60033,1096,52.23,46.91,0.86,127964,46.87,132643,140377,48.58,51.42,273020,34143
Hudson,127447,60646,1353,67.27,32.01,0.71,189446,31.58,296116,303813,49.36,50.64,599929,33435
Hunterdon,26050,39888,742,39.07,59.82,1.11,66680,52.02,63678,64492,49.68,50.32,128170,60457
Mercer,91580,56604,1326,61.25,37.86,0.89,149510,41.39,181910,179315,50.36,49.64,361225,45003
Middlesex,166628,126492,2685,56.33,42.76,0.91,295805,38.21,411739,362470,53.18,46.82,774209,40506
Monmouth,133773,163650,2516,44.6,54.56,0.84,299939,46.87,306091,333896,47.83,52.17,639987,48528
Morris,98066,135241,1847,41.7,57.51,0.79,235154,48.77,244890,237265,50.79,49.21,482155,60234
Ocean,99839,154204,2263,38.95,60.16,0.88,256306,46.45,282090,269708,51.12,48.88,551798,34785
Passaic,94962,75200,1149,55.43,43.9,0.67,171311,34.92,247881,242646,50.53,49.47,490527,34215
Salem,13749,15721,311,46.17,52.79,1.04,29781,45.88,31499,33415,48.52,51.48,64914,33302
Somerset,66476,72508,1295,47.39,51.69,0.92,140279,44.92,161984,150335,51.86,48.14,312319,61059
Sussex,23990,44506,900,34.57,64.13,1.3,69396,46.15,71945,78415,47.85,52.15,150360,41795
Union,119372,82517,1498,58.69,40.57,0.74,203387,38.84,269734,253901,51.51,48.49,523635,43334
Warren,18044,29542,622,37.43,61.28,1.29,48208,44.33,52137,56611,47.94,52.06,108748,36746
Statewide,1911430,1670003,30258,50.77,48.31,0.93,3611691,41.94,4284613,4326917,49.75,50.25,8611530,43117
